ts,scan_id,direction,status,age_bars,evidence_score,near_sr,sr_quality,order_block,order_block_quality,liquidity_sweep,sweep_strength,rejection,choch,bos,displacement,volume_ratio,mtf_agreement,reclaim_or_structure,follow_through,orderbook_imbalance,orderbook_pressure,orderbook_bid_depth,orderbook_ask_depth,orderbook_spread_bps,trade_delta,price,order_block_detail,near_sr_detail,timeframe_details,diagnostic_only
2026-09-23T04:30:51.313077+00:00,20260923T043049.684990Z,LONG,DEVELOPING,1,0.39682,True,0.0,True,0.740051,False,0.45,0.0,False,True,0.474129,0.211018,1.0,True,False,0.2769266229815776,0.6384633114907888,4.80237039,2.7193936699999997,0.0011484384217379767,-0.3617758200000001,87074.76,"{'direction': 'LONG', 'timeframe': '1h', 'zone_low': 86001.0, 'zone_high': 86187.02, 'origin_ts': 1790114400, 'confirm_ts': 1790125200, 'age_bars': 6, 'reaction_atr': 1.0, 'volume_ratio': 0.6630095557067304, 'in_zone': False, 'freshness': 0.925}","{'price': 86621.19, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790136300, 'last_ts': 1790136300, 'distance_atr': 3.3217620564648382, 'price_distance': 453.56999999999243}","{'1h': {'trend': 1.0, 'near_support': {'price': 86001.0, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790114400, 'last_ts': 1790114400, 'distance_atr': 2.4332856772332523, 'price_distance': 1098.9900000000052}, 'near_resistance': {'price': 87397.0, 'touches': 1, 'kind': 'RESISTANCE', 'first_ts': 1790020800, 'last_ts': 1790020800, 'distance_atr': 0.6576130619887643, 'price_distance': 297.00999999999476}, 'structure': {'sweep': False, 'sweep_strength': 0.45, 'choch': False, 'bos': True, 'displacement': 0.8935708547100479, 'rejection': 0.1814687339166281, 'swing_high': 86959.3, 'swing_low': 85307.72, 'close': 87099.99, 'atr': 451.6485714285726, 'volume_ratio': 0.5187528974166408}, 'order_blocks': [{'direction': 'LONG', 'timeframe': None, 'zone_low': 86001.0, 'zone_high': 86187.02, 'origin_ts': 1790114400, 'confirm_ts': 1790125200, 'age_bars': 6, 'reaction_atr': 1.0, 'volume_ratio': 0.6630095557067304, 'in_zone': False, 'freshness': 0.925}]}, '15m': {'trend': 1.0, 'near_support': {'price': 86621.19, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790136000, 'last_ts': 1790136000, 'distance_atr': 1.9875301651689545, 'price_distance': 453.56999999999243}, 'near_resistance': {'price': 86959.3, 'touches': 1, 'kind': 'RESISTANCE', 'first_ts': 1790134200, 'last_ts': 1790134200, 'distance_atr': 0.5059422644143023, 'price_distance': 115.45999999999185}, 'structure': {'sweep': False, 'sweep_strength': 0.45, 'choch': False, 'bos': True, 'displacement': 0.28368874240585085, 'rejection': 0.0, 'swing_high': 87242.95, 'swing_low': 86086.51, 'close': 87074.76, 'atr': 228.20785714285532, 'volume_ratio': 0.0823679364958944}, 'order_blocks': [{'direction': 'LONG', 'timeframe': None, 'zone_low': 86451.94, 'zone_high': 86579.46, 'origin_ts': 1790130600, 'confirm_ts': 1790133300, 'age_bars': 8, 'reaction_atr': 1.0, 'volume_ratio': 0.7294178274426114, 'in_zone': False, 'freshness': 0.9}]}, '5m': {'trend': 1.0, 'near_support': {'price': 86621.19, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790136300, 'last_ts': 1790136300, 'distance_atr': 3.3217620564648382, 'price_distance': 453.56999999999243}, 'near_resistance': None, 'structure': {'sweep': False, 'sweep_strength': 0.45, 'choch': False, 'bos': True, 'displacement': 0.4741294078874403, 'rejection': 0.0, 'swing_high': 87242.95, 'swing_low': 86413.78, 'close': 87074.76, 'atr': 136.54500000000033, 'volume_ratio': 0.21101813321384993}, 'order_blocks': [{'direction': 'LONG', 'timeframe': None, 'zone_low': 86630.0, 'zone_high': 86696.41, 'origin_ts': 1790136000, 'confirm_ts': 1790136900, 'age_bars': 6, 'reaction_atr': 1.0, 'volume_ratio': 0.7203293197412416, 'in_zone': False, 'freshness': 0.925}, {'direction': 'LONG', 'timeframe': None, 'zone_low': 86692.45, 'zone_high': 86709.55, 'origin_ts': 1790135700, 'confirm_ts': 1790136600, 'age_bars': 7, 'reaction_atr': 1.0, 'volume_ratio': 0.3517674285472526, 'in_zone': False, 'freshness': 0.9125}, {'direction': 'LONG', 'timeframe': None, 'zone_low': 86688.92, 'zone_high': 86734.51, 'origin_ts': 1790135400, 'confirm_ts': 1790136300, 'age_bars': 8, 'reaction_atr': 0.8454173269941574, 'volume_ratio': 0.5613363283317552, 'in_zone': False, 'freshness': 0.9}, {'direction': 'LONG', 'timeframe': None, 'zone_low': 86653.57, 'zone_high': 86689.75, 'origin_ts': 1790134200, 'confirm_ts': 1790134800, 'age_bars': 12, 'reaction_atr': 1.0, 'volume_ratio': 0.781395512880028, 'in_zone': False, 'freshness': 0.85}]}}",True
2026-09-23T04:30:51.565658+00:00,20260923T043049.684990Z,SHORT,DEVELOPING,1,0.354041,True,0.32541,True,0.85625,False,0.45,0.000463,False,False,0.474129,0.211018,0.0,False,False,0.2769266229815776,0.36153668850921117,4.80237039,2.7193936699999997,0.0011484384217379767,-0.3617758200000001,87074.76,"{'direction': 'SHORT', 'timeframe': '5m', 'zone_low': 86827.47, 'zone_high': 86959.3, 'origin_ts': 1790134800, 'confirm_ts': 1790135400, 'age_bars': 10, 'reaction_atr': 1.0, 'volume_ratio': 3.8975941171209296, 'in_zone': False, 'freshness': 0.875}","{'price': 86959.3, 'touches': 1, 'kind': 'RESISTANCE', 'first_ts': 1790134200, 'last_ts': 1790134200, 'distance_atr': 0.5059422644143023, 'price_distance': 115.45999999999185}","{'1h': {'trend': 0.0, 'near_support': {'price': 86001.0, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790114400, 'last_ts': 1790114400, 'distance_atr': 2.4332856772332523, 'price_distance': 1098.9900000000052}, 'near_resistance': {'price': 87397.0, 'touches': 1, 'kind': 'RESISTANCE', 'first_ts': 1790020800, 'last_ts': 1790020800, 'distance_atr': 0.6576130619887643, 'price_distance': 297.00999999999476}, 'structure': {'sweep': False, 'sweep_strength': 0.55, 'choch': False, 'bos': False, 'displacement': 0.8935708547100479, 'rejection': 0.34489191971176913, 'swing_high': 86959.3, 'swing_low': 85307.72, 'close': 87099.99, 'atr': 451.6485714285726, 'volume_ratio': 0.5187528974166408}, 'order_blocks': []}, '15m': {'trend': 0.0, 'near_support': {'price': 86621.19, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790136000, 'last_ts': 1790136000, 'distance_atr': 1.9875301651689545, 'price_distance': 453.56999999999243}, 'near_resistance': {'price': 86959.3, 'touches': 1, 'kind': 'RESISTANCE', 'first_ts': 1790134200, 'last_ts': 1790134200, 'distance_atr': 0.5059422644143023, 'price_distance': 115.45999999999185}, 'structure': {'sweep': False, 'sweep_strength': 0.45, 'choch': False, 'bos': False, 'displacement': 0.28368874240585085, 'rejection': 0.00046324891918026915, 'swing_high': 87242.95, 'swing_low': 86086.51, 'close': 87074.76, 'atr': 228.20785714285532, 'volume_ratio': 0.0823679364958944}, 'order_blocks': []}, '5m': {'trend': 0.0, 'near_support': {'price': 86621.19, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790136300, 'last_ts': 1790136300, 'distance_atr': 3.3217620564648382, 'price_distance': 453.56999999999243}, 'near_resistance': None, 'structure': {'sweep': False, 'sweep_strength': 0.45, 'choch': False, 'bos': False, 'displacement': 0.4741294078874403, 'rejection': 0.00046324891918026915, 'swing_high': 87242.95, 'swing_low': 86413.78, 'close': 87074.76, 'atr': 136.54500000000033, 'volume_ratio': 0.21101813321384993}, 'order_blocks': [{'direction': 'SHORT', 'timeframe': None, 'zone_low': 86827.47, 'zone_high': 86959.3, 'origin_ts': 1790134800, 'confirm_ts': 1790135400, 'age_bars': 10, 'reaction_atr': 1.0, 'volume_ratio': 3.8975941171209296, 'in_zone': False, 'freshness': 0.875}]}}",True
2026-09-23T04:35:37.567293+00:00,20260923T043536.179510Z,LONG,CONFIRMED,2,0.5782,True,0.0,True,0.861267,False,0.45,0.605735,False,True,0.903865,0.621821,1.0,True,True,0.15738800990096172,0.5786940049504808,4.437950870000001,3.2309567599999998,0.0011463982699145686,-0.8913812900000004,87229.72,"{'direction': 'LONG', 'timeframe': '5m', 'zone_low': 86751.72, 'zone_high': 86838.02, 'origin_ts': 1790136900, 'confirm_ts': 1790137800, 'age_bars': 4, 'reaction_atr': 1.0, 'volume_ratio': 1.787667674692481, 'in_zone': False, 'freshness': 0.95}","{'price': 86621.19, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790136300, 'last_ts': 1790136300, 'distance_atr': 4.12468832759613, 'price_distance': 608.5299999999988}","{'1h': {'trend': 1.0, 'near_support': {'price': 86001.0, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790114400, 'last_ts': 1790114400, 'distance_atr': 2.7034798379365466, 'price_distance': 1228.7200000000012}, 'near_resistance': {'price': 87397.0, 'touches': 1, 'kind': 'RESISTANCE', 'first_ts': 1790020800, 'last_ts': 1790020800, 'distance_atr': 0.3680562758724705, 'price_distance': 167.27999999999884}, 'structure': {'sweep': False, 'sweep_strength': 0.45, 'choch': False, 'bos': True, 'displacement': 1.0, 'rejection': 0.17053595719597736, 'swing_high': 86959.3, 'swing_low': 85307.72, 'close': 87229.72, 'atr': 454.4957142857155, 'volume_ratio': 0.5877876847499468}, 'order_blocks': [{'direction': 'LONG', 'timeframe': None, 'zone_low': 86001.0, 'zone_high': 86187.02, 'origin_ts': 1790114400, 'confirm_ts': 1790125200, 'age_bars': 6, 'reaction_atr': 1.0, 'volume_ratio': 0.6630095557067304, 'in_zone': False, 'freshness': 0.925}]}, '15m': {'trend': 1.0, 'near_support': {'price': 86621.19, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790136000, 'last_ts': 1790136000, 'distance_atr': 2.503546932946232, 'price_distance': 608.5299999999988}, 'near_resistance': None, 'structure': {'sweep': False, 'sweep_strength': 0.45, 'choch': False, 'bos': True, 'displacement': 0.9038654810252263, 'rejection': 0.0, 'swing_high': 87242.95, 'swing_low': 86086.51, 'close': 87229.72, 'atr': 243.06714285714094, 'volume_ratio': 0.6218211069682603}, 'order_blocks': [{'direction': 'LONG', 'timeframe': None, 'zone_low': 86451.94, 'zone_high': 86579.46, 'origin_ts': 1790130600, 'confirm_ts': 1790133300, 'age_bars': 8, 'reaction_atr': 1.0, 'volume_ratio': 0.7294178274426114, 'in_zone': False, 'freshness': 0.9}]}, '5m': {'trend': 1.0, 'near_support': {'price': 86621.19, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790136300, 'last_ts': 1790136300, 'distance_atr': 4.12468832759613, 'price_distance': 608.5299999999988}, 'near_resistance': None, 'structure': {'sweep': False, 'sweep_strength': 0.45, 'choch': False, 'bos': True, 'displacement': 0.04758239044869061, 'rejection': 0.6057354662504645, 'swing_high': 87282.81, 'swing_low': 86413.78, 'close': 87229.72, 'atr': 147.53357142857152, 'volume_ratio': 0.22923354171168983}, 'order_blocks': [{'direction': 'LONG', 'timeframe': None, 'zone_low': 86751.72, 'zone_high': 86838.02, 'origin_ts': 1790136900, 'confirm_ts': 1790137800, 'age_bars': 4, 'reaction_atr': 1.0, 'volume_ratio': 1.787667674692481, 'in_zone': False, 'freshness': 0.95}, {'direction': 'LONG', 'timeframe': None, 'zone_low': 86630.0, 'zone_high': 86696.41, 'origin_ts': 1790136000, 'confirm_ts': 1790136900, 'age_bars': 7, 'reaction_atr': 1.0, 'volume_ratio': 0.7203293197412416, 'in_zone': False, 'freshness': 0.9125}, {'direction': 'LONG', 'timeframe': None, 'zone_low': 86692.45, 'zone_high': 86709.55, 'origin_ts': 1790135700, 'confirm_ts': 1790136600, 'age_bars': 8, 'reaction_atr': 1.0, 'volume_ratio': 0.3517674285472526, 'in_zone': False, 'freshness': 0.9}, {'direction': 'LONG', 'timeframe': None, 'zone_low': 86688.92, 'zone_high': 86734.51, 'origin_ts': 1790135400, 'confirm_ts': 1790136300, 'age_bars': 9, 'reaction_atr': 0.8454173269941574, 'volume_ratio': 0.5613363283317552, 'in_zone': False, 'freshness': 0.8875}]}}",True
2026-09-23T04:35:37.863390+00:00,20260923T043536.179510Z,SHORT,CONFIRMING,2,0.538155,True,0.509258,True,0.851875,False,0.323865,0.688841,False,False,0.903865,0.621821,0.0,False,True,0.15738800990096172,0.42130599504951916,4.437950870000001,3.2309567599999998,0.0011463982699145686,-0.8913812900000004,87229.72,"{'direction': 'SHORT', 'timeframe': '5m', 'zone_low': 86827.47, 'zone_high': 86959.3, 'origin_ts': 1790134800, 'confirm_ts': 1790135400, 'age_bars': 11, 'reaction_atr': 1.0, 'volume_ratio': 3.8975941171209296, 'in_zone': False, 'freshness': 0.8625}","{'price': 87397.0, 'touches': 1, 'kind': 'RESISTANCE', 'first_ts': 1790020800, 'last_ts': 1790020800, 'distance_atr': 0.3680562758724705, 'price_distance': 167.27999999999884}","{'1h': {'trend': 0.0, 'near_support': {'price': 86001.0, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790114400, 'last_ts': 1790114400, 'distance_atr': 2.7034798379365466, 'price_distance': 1228.7200000000012}, 'near_resistance': {'price': 87397.0, 'touches': 1, 'kind': 'RESISTANCE', 'first_ts': 1790020800, 'last_ts': 1790020800, 'distance_atr': 0.3680562758724705, 'price_distance': 167.27999999999884}, 'structure': {'sweep': False, 'sweep_strength': 0.55, 'choch': False, 'bos': False, 'displacement': 1.0, 'rejection': 0.12036365285208325, 'swing_high': 86959.3, 'swing_low': 85307.72, 'close': 87229.72, 'atr': 454.4957142857155, 'volume_ratio': 0.5877876847499468}, 'order_blocks': []}, '15m': {'trend': 0.0, 'near_support': {'price': 86621.19, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790136000, 'last_ts': 1790136000, 'distance_atr': 2.503546932946232, 'price_distance': 608.5299999999988}, 'near_resistance': None, 'structure': {'sweep': False, 'sweep_strength': 0.22937283642966488, 'choch': False, 'bos': False, 'displacement': 0.9038654810252263, 'rejection': 0.29192785659297127, 'swing_high': 87242.95, 'swing_low': 86086.51, 'close': 87229.72, 'atr': 243.06714285714094, 'volume_ratio': 0.6218211069682603}, 'order_blocks': []}, '5m': {'trend': 0.0, 'near_support': {'price': 86621.19, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790136300, 'last_ts': 1790136300, 'distance_atr': 4.12468832759613, 'price_distance': 608.5299999999988}, 'near_resistance': None, 'structure': {'sweep': False, 'sweep_strength': 0.32386527037427587, 'choch': False, 'bos': False, 'displacement': 0.04758239044869061, 'rejection': 0.6888412017166212, 'swing_high': 87282.81, 'swing_low': 86413.78, 'close': 87229.72, 'atr': 147.53357142857152, 'volume_ratio': 0.22923354171168983}, 'order_blocks': [{'direction': 'SHORT', 'timeframe': None, 'zone_low': 86827.47, 'zone_high': 86959.3, 'origin_ts': 1790134800, 'confirm_ts': 1790135400, 'age_bars': 11, 'reaction_atr': 1.0, 'volume_ratio': 3.8975941171209296, 'in_zone': False, 'freshness': 0.8625}]}}",True
2026-09-23T04:48:51.633518+00:00,20260923T044850.068354Z,LONG,DEVELOPING,3,0.448587,True,0.0,True,0.74906,False,0.45,0.391352,False,True,0.452714,0.346822,1.0,True,False,0.09170718656843076,0.5458535932842153,5.506591,4.5814455500000015,0.22933144608841965,-0.02199936000000008,87210.02,"{'direction': 'LONG', 'timeframe': '15m', 'zone_low': 86688.92, 'zone_high': 86880.91, 'origin_ts': 1790135100, 'confirm_ts': 1790137800, 'age_bars': 4, 'reaction_atr': 1.0, 'volume_ratio': 0.6656016029004891, 'in_zone': False, 'freshness': 0.95}","{'price': 86621.19, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790136300, 'last_ts': 1790136300, 'distance_atr': 3.764072545295157, 'price_distance': 588.8300000000017}","{'1h': {'trend': 1.0, 'near_support': {'price': 86001.0, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790114400, 'last_ts': 1790114400, 'distance_atr': 2.6578908491986337, 'price_distance': 1208.0}, 'near_resistance': {'price': 87397.0, 'touches': 1, 'kind': 'RESISTANCE', 'first_ts': 1790020800, 'last_ts': 1790020800, 'distance_atr': 0.4136452646103834, 'price_distance': 188.0}, 'structure': {'sweep': False, 'sweep_strength': 0.45, 'choch': False, 'bos': True, 'displacement': 1.0, 'rejection': 0.17053595719597736, 'swing_high': 86959.3, 'swing_low': 85307.72, 'close': 87209.0, 'atr': 454.4957142857155, 'volume_ratio': 0.7345212308287419}, 'order_blocks': [{'direction': 'LONG', 'timeframe': None, 'zone_low': 86001.0, 'zone_high': 86187.02, 'origin_ts': 1790114400, 'confirm_ts': 1790125200, 'age_bars': 6, 'reaction_atr': 1.0, 'volume_ratio': 0.6630095557067304, 'in_zone': False, 'freshness': 0.925}]}, '15m': {'trend': 1.0, 'near_support': {'price': 86621.19, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790136000, 'last_ts': 1790136000, 'distance_atr': 2.458653702764793, 'price_distance': 588.8300000000017}, 'near_resistance': None, 'structure': {'sweep': False, 'sweep_strength': 0.45, 'choch': False, 'bos': True, 'displacement': 0.29570819290766315, 'rejection': 0.3913516312791544, 'swing_high': 87282.81, 'swing_low': 86088.51, 'close': 87210.02, 'atr': 239.49285714285568, 'volume_ratio': 0.1510466236041903}, 'order_blocks': [{'direction': 'LONG', 'timeframe': None, 'zone_low': 86688.92, 'zone_high': 86880.91, 'origin_ts': 1790135100, 'confirm_ts': 1790137800, 'age_bars': 4, 'reaction_atr': 1.0, 'volume_ratio': 0.6656016029004891, 'in_zone': False, 'freshness': 0.95}, {'direction': 'LONG', 'timeframe': None, 'zone_low': 86451.94, 'zone_high': 86579.46, 'origin_ts': 1790130600, 'confirm_ts': 1790133300, 'age_bars': 9, 'reaction_atr': 1.0, 'volume_ratio': 0.7294178274426114, 'in_zone': False, 'freshness': 0.8875}]}, '5m': {'trend': 1.0, 'near_support': {'price': 86621.19, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790136300, 'last_ts': 1790136300, 'distance_atr': 3.764072545295157, 'price_distance': 588.8300000000017}, 'near_resistance': {'price': 87282.81, 'touches': 1, 'kind': 'RESISTANCE', 'first_ts': 1790137800, 'last_ts': 1790137800, 'distance_atr': 0.4653072033897892, 'price_distance': 72.7899999999936}, 'structure': {'sweep': False, 'sweep_strength': 0.45, 'choch': False, 'bos': True, 'displacement': 0.45271405610758375, 'rejection': 0.3913516312791544, 'swing_high': 87282.81, 'swing_low': 86413.78, 'close': 87210.02, 'atr': 156.43428571428583, 'volume_ratio': 0.34682197669467285}, 'order_blocks': [{'direction': 'LONG', 'timeframe': None, 'zone_low': 86751.72, 'zone_high': 86838.02, 'origin_ts': 1790136900, 'confirm_ts': 1790137800, 'age_bars': 6, 'reaction_atr': 1.0, 'volume_ratio': 1.787667674692481, 'in_zone': False, 'freshness': 0.925}, {'direction': 'LONG', 'timeframe': None, 'zone_low': 86630.0, 'zone_high': 86696.41, 'origin_ts': 1790136000, 'confirm_ts': 1790136900, 'age_bars': 9, 'reaction_atr': 1.0, 'volume_ratio': 0.7203293197412416, 'in_zone': False, 'freshness': 0.8875}, {'direction': 'LONG', 'timeframe': None, 'zone_low': 86692.45, 'zone_high': 86709.55, 'origin_ts': 1790135700, 'confirm_ts': 1790136600, 'age_bars': 10, 'reaction_atr': 1.0, 'volume_ratio': 0.3517674285472526, 'in_zone': False, 'freshness': 0.875}, {'direction': 'LONG', 'timeframe': None, 'zone_low': 86688.92, 'zone_high': 86734.51, 'origin_ts': 1790135400, 'confirm_ts': 1790136300, 'age_bars': 11, 'reaction_atr': 0.8454173269941574, 'volume_ratio': 0.5613363283317552, 'in_zone': False, 'freshness': 0.8625}]}}",True
2026-09-23T04:48:51.919592+00:00,20260923T044850.068354Z,SHORT,CONFIRMING,3,0.226113,True,0.37959,False,0.0,False,0.418776,0.008389,False,False,0.452714,0.346822,0.0,False,False,0.09170718656843076,0.4541464067157846,5.506591,4.5814455500000015,0.22933144608841965,-0.02199936000000008,87210.02,,"{'price': 87282.81, 'touches': 1, 'kind': 'RESISTANCE', 'first_ts': 1790137800, 'last_ts': 1790137800, 'distance_atr': 0.4653072033897892, 'price_distance': 72.7899999999936}","{'1h': {'trend': 0.0, 'near_support': {'price': 86001.0, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790114400, 'last_ts': 1790114400, 'distance_atr': 2.6578908491986337, 'price_distance': 1208.0}, 'near_resistance': {'price': 87397.0, 'touches': 1, 'kind': 'RESISTANCE', 'first_ts': 1790020800, 'last_ts': 1790020800, 'distance_atr': 0.4136452646103834, 'price_distance': 188.0}, 'structure': {'sweep': False, 'sweep_strength': 0.55, 'choch': False, 'bos': False, 'displacement': 1.0, 'rejection': 0.16733925818445222, 'swing_high': 86959.3, 'swing_low': 85307.72, 'close': 87209.0, 'atr': 454.4957142857155, 'volume_ratio': 0.7345212308287419}, 'order_blocks': []}, '15m': {'trend': 0.0, 'near_support': {'price': 86621.19, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790136000, 'last_ts': 1790136000, 'distance_atr': 2.458653702764793, 'price_distance': 588.8300000000017}, 'near_resistance': None, 'structure': {'sweep': False, 'sweep_strength': 0.2735405171642235, 'choch': False, 'bos': False, 'displacement': 0.29570819290766315, 'rejection': 0.008389435525534658, 'swing_high': 87282.81, 'swing_low': 86088.51, 'close': 87210.02, 'atr': 239.49285714285568, 'volume_ratio': 0.1510466236041903}, 'order_blocks': []}, '5m': {'trend': 0.0, 'near_support': {'price': 86621.19, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790136300, 'last_ts': 1790136300, 'distance_atr': 3.764072545295157, 'price_distance': 588.8300000000017}, 'near_resistance': {'price': 87282.81, 'touches': 1, 'kind': 'RESISTANCE', 'first_ts': 1790137800, 'last_ts': 1790137800, 'distance_atr': 0.4653072033897892, 'price_distance': 72.7899999999936}, 'structure': {'sweep': False, 'sweep_strength': 0.4187764830508103, 'choch': False, 'bos': False, 'displacement': 0.45271405610758375, 'rejection': 0.008389435525534658, 'swing_high': 87282.81, 'swing_low': 86413.78, 'close': 87210.02, 'atr': 156.43428571428583, 'volume_ratio': 0.34682197669467285}, 'order_blocks': []}}",True
2026-09-23T04:59:18.721974+00:00,20260923T045917.256126Z,LONG,CONFIRMING,4,0.437238,True,0.0,True,0.74906,False,0.45,0.326634,False,True,0.246243,0.935868,1.0,True,False,-0.026713618887668947,0.4866431905561655,4.289764269999998,4.52524507,0.0011468085875909148,-0.98470207,87198.51,"{'direction': 'LONG', 'timeframe': '15m', 'zone_low': 86688.92, 'zone_high': 86880.91, 'origin_ts': 1790135100, 'confirm_ts': 1790137800, 'age_bars': 4, 'reaction_atr': 1.0, 'volume_ratio': 0.6656016029004891, 'in_zone': False, 'freshness': 0.95}","{'price': 86621.19, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790136300, 'last_ts': 1790136300, 'distance_atr': 3.9606991821313104, 'price_distance': 577.3199999999924}","{'1h': {'trend': 1.0, 'near_support': {'price': 86001.0, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790114400, 'last_ts': 1790114400, 'distance_atr': 2.6348103235296705, 'price_distance': 1197.5099999999948}, 'near_resistance': {'price': 87397.0, 'touches': 1, 'kind': 'RESISTANCE', 'first_ts': 1790020800, 'last_ts': 1790020800, 'distance_atr': 0.43672579027934666, 'price_distance': 198.49000000000524}, 'structure': {'sweep': False, 'sweep_strength': 0.45, 'choch': False, 'bos': True, 'displacement': 1.0, 'rejection': 0.17053595719597736, 'swing_high': 86959.3, 'swing_low': 85307.72, 'close': 87198.51, 'atr': 454.4957142857155, 'volume_ratio': 0.8393254506971248}, 'order_blocks': [{'direction': 'LONG', 'timeframe': None, 'zone_low': 86001.0, 'zone_high': 86187.02, 'origin_ts': 1790114400, 'confirm_ts': 1790125200, 'age_bars': 6, 'reaction_atr': 1.0, 'volume_ratio': 0.6630095557067304, 'in_zone': False, 'freshness': 0.925}]}, '15m': {'trend': 1.0, 'near_support': {'price': 86621.19, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790136000, 'last_ts': 1790136000, 'distance_atr': 2.396918176884527, 'price_distance': 577.3199999999924}, 'near_resistance': None, 'structure': {'sweep': False, 'sweep_strength': 0.45, 'choch': False, 'bos': True, 'displacement': 0.24624336082418344, 'rejection': 0.3266338174273947, 'swing_high': 87282.81, 'swing_low': 86088.51, 'close': 87198.51, 'atr': 240.8592857142846, 'volume_ratio': 0.9358679187492074}, 'order_blocks': [{'direction': 'LONG', 'timeframe': None, 'zone_low': 86688.92, 'zone_high': 86880.91, 'origin_ts': 1790135100, 'confirm_ts': 1790137800, 'age_bars': 4, 'reaction_atr': 1.0, 'volume_ratio': 0.6656016029004891, 'in_zone': False, 'freshness': 0.95}, {'direction': 'LONG', 'timeframe': None, 'zone_low': 86451.94, 'zone_high': 86579.46, 'origin_ts': 1790130600, 'confirm_ts': 1790133300, 'age_bars': 9, 'reaction_atr': 1.0, 'volume_ratio': 0.7294178274426114, 'in_zone': False, 'freshness': 0.8875}]}, '5m': {'trend': 1.0, 'near_support': {'price': 86621.19, 'touches': 1, 'kind': 'SUPPORT', 'first_ts': 1790136300, 'last_ts': 1790136300, 'distance_atr': 3.9606991821313104, 'price_distance': 577.3199999999924}, 'near_resistance': {'price': 87282.81, 'touches': 1, 'kind': 'RESISTANCE', 'first_ts': 1790137800, 'last_ts': 1790137800, 'distance_atr': 0.5783394669398001, 'price_distance': 84.30000000000291}, 'structure': {'sweep': False, 'sweep_strength': 0.45, 'choch': False, 'bos': True, 'displacement': 0.2458114246791617, 'rejection': 0.18107859860903391, 'swing_high': 87282.81, 'swing_low': 86493.96, 'close': 87198.51, 'atr': 145.76214285714272, 'volume_ratio': 0.7589910579114532}, 'order_blocks': [{'direction': 'LONG', 'timeframe': None, 'zone_low': 86751.72, 'zone_high': 86838.02, 'origin_ts': 1790136900, 'confirm_ts': 1790137800, 'age_bars': 8, 'reaction_atr': 1.0, 'volume_ratio': 1.787667674692481, 'in_zone': False, 'freshness': 0.9}, {'direction': 'LONG', 'timeframe': None, 'zone_low': 86630.0, 'zone_high': 86696.41, 'origin_ts': 1790136000, 'confirm_ts': 1790136900, 'age_bars': 11, 'reaction_atr': 1.0, 'volume_ratio': 0.7203293197412416, 'in_zone': False, 'freshness': 0.8625}, {'direction': 'LONG', 'timeframe': None, 'zone_low': 86692.45, 'zone_high': 86709.55, 'origin_ts': 1790135700, 'confirm_ts': 1790136600, 'age_bars': 12, 'reaction_atr': 1.0, 'volume_ratio': 0.3517674285472526, 'in_zone': False, 'freshness': 0.85}]}}",True
